Прізвище;Ім'я;По батькові;Стать;Дата народження;Посада;Місто;Адреса;Телефон;Email
Кальченко;Ростислав;Тарасович;Чоловіча;08.09.2007;Пекар;селище Кам'янець-Подільський;сквер Райдужна, буд. 843 кв. 00, Дрогобич, 61518;581-50-93;fvenhrynovych@example.com
Вовк;Ігор;Анатолійович;Чоловіча;13.01.2007;Прокурор;село Мостиська;парк Хвойний, буд. 551 кв. 50, Бібрка, 87265;088 732-88-72;kruban@example.net
Башполченко;Марʼяна;Андріївна;Жіноча;02.08.1965;Клавішник;місто Красилів;проспект Юрія Олеші, буд. 7 кв. 633, Богодухів, 25877;+380 51 438-47-83;vladyslav53@example.net
Атрощенко;Костянтин;Олександрович;Чоловіча;12.08.2009;Геофізик;селище Луганськ;сквер Куниці, буд. 728, Алушта, 12186;+380 (57) 643-73-64;demyd13@example.org
Титаренко;Семен;Миколайович;Чоловіча;26.09.1973;Прокурор;хутір Верхівцеве;сквер Лобачевського, буд. 166 кв. 2, Севастополь, 72696;+380 (71) 052-67-36;lhaidenko@example.org
Черінько;Вадим;Тарасович;Чоловіча;01.06.1970;Диригент;місто Хорол;шосе Штильова, буд. 6, Скадовськ, 98693;+380 35 711-43-01;hryhoriichaika@example.com
Доценко;Демид;Степанович;Чоловіча;28.02.1993;Модельєр;село Миргород;вулиця Володимира Хавкіна, буд. 55, Каховка, 90447;+380 18 318-62-74;vermenychklavdiia@example.net
Рудик;Данна;Степанівна;Жіноча;21.01.1973;Електромонтажник;місто Стебник;парк 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 6 кв. 99, Ананьїв, 72805;926-68-25;ihortymchenko@example.net
Бандурка;Златослава;Григорівна;Жіноча;14.09.1991;Провізор;місто Городенка;проспект Ольги Благовидової, буд. 865 кв. 60, Красногорівка, 44729;560-42-00;lkhomyk@example.net
Бабич;Леонід;Віталійович;Чоловіча;20.12.1966;Астрофізик;хутір Нова Одеса;площа Косий, буд. 769, Херсон, 94119;+380 (12) 716-68-36;averchenkosolomon@example.com
Терещенко;Богодар;Миколайович;Чоловіча;15.04.1983;Історик;хутір Вознесенськ;площа Мала, буд. 2 кв. 4, Добропілля, 79374;+380 (79) 947-31-37;qviter@example.com
Акуленко;Альберт;Миколайович;Чоловіча;23.10.1961;Педагог;місто Шумськ;вулиця Селищна, буд. 01, Волочиськ, 95964;383-42-33;ierchenkoleonid@example.org
Вернигора;Валентин;Андрійович;Чоловіча;24.03.1981;Штукатур;хутір Чорнобиль;провулок Юннатів 3-й, буд. 555, Миронівка, 20830;+380 43 797-42-44;sdrobiazko@example.com
Гайденко;Олена;Сергіївна;Жіноча;25.10.1980;Бізнесмен;місто Рівне;проспект Могилівська, буд. 6, Татарбунари, 13205;158-62-82;nadiiapalii@example.com
Шевченко;Варвара;Миколаївна;Жіноча;21.11.2007;Підприємець;місто Докучаєвськ;сквер Аркадіївський, буд. 361, Боково-Хрустальне, 64597;546 56 14;sviatoslavashablii@example.com
Іващенко;Семен;Васильович;Чоловіча;08.11.1979;Фермер;місто Чортків;сквер Юрія Коваленка, буд. 76, Борщів, 83669;+380 84 557 40 72;trokhymzaporozhets@example.com
Заруба;Роман;Тарасович;Чоловіча;09.02.1972;Дантист;місто Знам'янка;проспект Малинова, буд. 778 кв. 309, Стебник, 02656;619 34 41;omelianstus@example.net
Притула;Симон;Олександрович;Чоловіча;10.08.1978;Парфюмер;селище Василівка;вулиця Виноградний тупик, буд. 505, Армянськ, 98368;460 86 34;solomiiakadeniuk@example.com
Юхименко;Андрій;Богданович;Чоловіча;11.06.1993;Фермер;місто Жидачів;парк Проценка, буд. 21 кв. 919, Олевськ, 72612;+380 (87) 605-33-48;bohdanbaklan@example.com
Сіробаба;Нестор;Сергійович;Чоловіча;20.05.1973;Графік;селище Боярка;шосе Студентський 2-й, буд. 42 кв. 7, Ланівці, 82732;054 850-16-21;wdubyna@example.net
Данилюк;Орися;Юріївна;Жіноча;21.05.1976;Стиліст;місто Чистякове;вулиця Сашка Хорошенка, буд. 4 кв. 2, Барвінкове, 51981;+380 01 456-78-73;martynvakarchuk@example.com
Їжак;Вікторія;Григорівна;Жіноча;05.09.1959;Намотувальник;село Хрестівка;провулок Цементний, буд. 763 кв. 577, Бершадь, 83069;+380 13 561 53 71;albinabazylevskyi@example.net
Аронець;Макар;Романович;Чоловіча;01.05.2008;Гірник;місто Луцьк;сквер Травневий 3-й, буд. 5, Чорноморськ, 87444;207 28 61;hnosenko@example.net
Приходько;Ольга;Сергіївна;Жіноча;27.09.1961;Графік;хутір Балта;площа Проточний, буд. 754, Балаклія, 32148;+380 (89) 463-80-95;allashylo@example.net
Гаврилишин;Аліна;Сергіївна;Жіноча;21.07.1976;Ювелір;село Сокиряни;проспект Радіальна, буд. 5, Стебник, 57424;+380 (21) 114-92-00;vashchenko-zakharchenkohalyna@example.org
Базилевич;Павло;Євгенович;Чоловіча;07.05.2006;Палеонтолог;село Тараща;сквер Академіка Липського, буд. 087 кв. 070, Кривий Ріг, 84871;+380 32 589-23-61;priska49@example.org
Петренко;Аркадій;Ігорович;Чоловіча;11.11.2002;Композитор;село Южне;шосе Литовська, буд. 40 кв. 01, Судак, 89529;028 252-48-21;artem73@example.net
Бабійчук;Амвросій;Васильович;Чоловіча;15.01.1950;Штукатур;хутір Роздільна;площа Селекційний, буд. 307, Богуслав, 80200;021 097 44 55;okhrimenkoivan@example.net
Сацюк;Арсен;Андрійович;Чоловіча;19.10.1973;Геолог;селище Лиман;проспект узвіз Віталія Блажка, буд. 119 кв. 3, Свалява, 86671;+380 91 681-81-36;lrubets@example.net
Швайка;Амвросій;Сергійович;Чоловіча;10.01.1955;Письменник;село Кропивницький;набережна Тупиковий 1-й, буд. 76 кв. 7, Заводське, 20537;+380 83 265-33-45;vcharnysh@example.com
Павличенко;Богданна;Богданівна;Жіноча;06.04.2003;Футболіст;місто Дрогобич;провулок Лінія 44-та, буд. 562, Мена, 98482;+380 13 860-46-00;mykhailynabarannyk@example.com
Данченко;Галина;Ігорівна;Жіноча;01.02.1951;Пілот;селище Дубно;вулиця Рельєфна, буд. 750, Устилуг, 34010;+380 74 798-32-36;iaryna11@example.net
Тарасенко;Анжела;Віталіївна;Жіноча;28.10.2007;Ріелтор;місто Хотин;провулок Садова, буд. 9 кв. 56, Вижниця, 69161;010 625 82 63;volodymyradavydenko@example.com
Юхименко;Єлисавета;Григорівна;Жіноча;19.06.1956;Намотувальник;місто Попасна;набережна Різдвяна, буд. 842, Чернігів, 19344;+380 (43) 368-26-68;nazardatsiuk@example.com
Юрчук;Сніжана;Дмитрівна;Жіноча;15.06.2010;Кухар;село Городище;узвіз Скліфосовського, буд. 3 кв. 4, Українка, 84791;+380 19 601-90-72;ubazylevych@example.net
Рубан;Семен;Ігорович;Чоловіча;18.07.1978;Фізик;місто Нетішин;узвіз Зелена балка, буд. 67 кв. 71, Нетішин, 39812;117 00 02;ihnatdeisun@example.net
Гайдабура;Аліна;Тарасівна;Жіноча;22.08.1987;Живописець;місто Тростянець;набережна Травневий, буд. 44 кв. 999, Волочиськ, 01898;+380 78 828-44-52;rozaliiabaranets@example.org
Литвиненко;Ада;Віталіївна;Жіноча;28.11.1988;Астронавт;село Валки;парк Пейзажна, буд. 9, Зіньків, 67778;840 72 37;irynafranchuk@example.com
Нестеренко;Аліна;Іванівна;Жіноча;24.06.1988;Адвокат;місто Сніжне;провулок Гетьмана Сагайдачного, буд. 159 кв. 96, Козятин, 61725;+380 48 823 40 84;jhavrylets@example.net
Терещук;Тереза;Анатоліївна;Жіноча;17.07.2003;Електрослюсар;село Городня;сквер Цегельнозаводська, буд. 4 кв. 1, Перевальськ, 86972;+380 54 243 46 58;olehvitruk@example.org
Токар;Єва;Володимирівна;Жіноча;16.04.1949;Маркетолог;селище Пологи;узвіз Миколи Боровського, буд. 435 кв. 9, Карлівка, 28426;068-93-38;iukhym68@example.com
Аврамчук;Ігор;Михайлович;Чоловіча;03.08.1972;Клоун;село Алмазна;вулиця 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 657 кв. 17, Багачеве, 40241;+380 (93) 828-02-68;piatachenkomakar@example.com
Андрійчук;Симон;Романович;Чоловіча;03.04.1982;Реставратор;місто Кременчук;сквер Бутишів, буд. 4, Ананьїв, 18647;+380 20 756 13 65;qkomar@example.net
Мамчур;Ярина;Віталіївна;Жіноча;02.07.2003;Адвокат;селище Суми;площа Юрія Коваленка, буд. 21 кв. 3, Нетішин, 64825;+380 96 904 77 56;kashchenkoiarema@example.com
Медведенко;Світлана;Юріївна;Жіноча;18.05.2010;Кушнір;село Івано-Франківськ;узвіз Журавлина, буд. 008 кв. 0, Берислав, 98060;045 504 39 56;iryna13@example.com
Давиденко;Дмитро;Григорович;Чоловіча;24.02.1962;Підприємець;село Токмак;провулок Нерубайська, буд. 4 кв. 834, Барвінкове, 10887;+380 17 835 66 90;qtychyna@example.com
Забарний;Аркадій;Дмитрович;Чоловіча;14.05.2004;Дерун;хутір Ковель;проспект Училищна, буд. 55 кв. 8, Нововолинськ, 99365;023 294 34 18;dmytrolesyk@example.net
Ємець;Руслан;Васильович;Чоловіча;21.04.1965;Мистецтвознавець;селище Суходільськ;шосе Молоді, буд. 34, Херсон, 94150;+380 93 043 81 13;irena74@example.org
Бездітко;Григорій;Васильович;Чоловіча;01.05.1947;Редактор;місто Родинське;проспект Миколи Пильчикова, буд. 94, Овруч, 62807;+380 (28) 060-25-42;dderkach@example.net
Худяк;Азар;Миколайович;Чоловіча;12.05.1996;Підприємець;місто Шаргород;парк Грузовий, буд. 5, Бердичів, 87894;+380 06 247-60-68;baturynetsmykyta@example.net
Бакуменко;Зорян;Тарасович;Чоловіча;05.05.1966;Дантист;селище Вільногірськ;площа Посівна, буд. 514 кв. 801, Попасна, 27248;722 41 50;azaika@example.net
Авдєєнко;Семен;Васильович;Чоловіча;28.04.1982;Конструктор;місто Гнівань;вулиця Тупиковий, буд. 3 кв. 510, Бобринець, 75873;+380 (52) 759-03-71;kbaidak@example.com
Дейнеко;Леонтій;Ігорович;Чоловіча;06.04.2002;Економіст;хутір Горохів;набережна Леся Курбаса, буд. 861 кв. 3, Прилуки, 55617;+380 (23) 156-26-98;chumakleonid@example.org
Засенко;Олег;Віталійович;Чоловіча;19.05.1986;Ґрунтознавець;село Лохвиця;парк 8-ма Лінія Дачі Ковалевського, буд. 26 кв. 76, Підгородне, 05010;018 877 73 97;iarema31@example.com
Верменич;Омелян;Васильович;Чоловіча;01.02.1996;Громадський діяч;хутір Сторожинець;шосе Різовська, буд. 3, Оріхів, 97011;+380 33 454-07-73;oleksandrsvystun@example.org
Яремків;Марʼяна;Андріївна;Жіноча;08.06.1965;Стиліст;селище Вашківці;набережна Заводська 1-ша, буд. 10, Радивилів, 75481;928-18-66;marko58@example.net
Лукаш;Євген;Богданович;Чоловіча;19.12.1972;Дизайнер;селище Моспине;набережна Сімферопольська, буд. 96 кв. 66, Нововолинськ, 52080;+380 05 081 71 76;sviatoslavaeibozhenko@example.com
Габелко;Ігнат;Андрійович;Чоловіча;01.11.2004;Антрополог;місто Болград;шосе Лазурний 2-й, буд. 6, Березівка, 95709;124-61-05;solomiiaandriievych@example.com
Голик;Остап;Ігорович;Чоловіча;22.11.1971;Дантист;хутір Кобеляки;провулок Весняна, буд. 17, Дубно, 37644;243 75 64;kalenychenkooryna@example.net
Шило;Орхип;Євгенович;Чоловіча;21.10.1973;Клавішник;селище Боярка;парк Наявний 5-й, буд. 7 кв. 497, Васильків, 94519;142 01 45;edyta80@example.org
Захаренко;Лесь;Богданович;Чоловіча;21.04.1997;Лікар;село Волочиськ;сквер Сливова, буд. 7 кв. 64, Докучаєвськ, 35564;+380 61 590-13-95;sviatoslav89@example.net
Байрак;Богдан;Володимирович;Чоловіча;12.04.1962;Фотограф;хутір Підгородне;площа Бориса Дерев'янка, буд. 684, Пустомити, 18896;072 584-19-55;erikadashenko@example.net
Яценко;Онисим;Дмитрович;Чоловіча;18.10.1974;Драматург;село Сіверськодонецьк;вулиця Солонцюватий 1-й, буд. 4, Білицьке, 36498;+380 54 993 09 86;liubov26@example.com
Ісаєвич;Михайлина;Олександрівна;Жіноча;10.10.1976;Електромонтажник;селище Христинівка;вулиця Олександра Ройтбурда, буд. 125, Тернопіль, 11054;074 467 83 16;bohodar92@example.net
Рак;Галина;Богданівна;Жіноча;05.04.1988;Продюсер;місто Хрустальний;шосе Травневий, буд. 7, Лубни, 98171;799 06 81;frants50@example.com
Жайворон;Володимир;Михайлович;Чоловіча;11.08.1972;Шериф;селище Бахмач;площа Мигдальна, буд. 9, Остер, 42323;378-63-25;trokhympiatachenko@example.com
Удовиченко;Франц;Віталійович;Чоловіча;10.03.1981;Письменник;село Богодухів;набережна Лінія 25-та, буд. 9 кв. 70, Калуш, 26246;+380 (67) 195-01-08;nesterenkoserhii@example.com
Вдовенко;Богданна;Тарасівна;Жіноча;06.06.1965;Клавішник;хутір Тульчин;шосе 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 841, Жовква, 23198;+380 02 150-29-49;hchervonenko@example.net
Алексійчук;Устим;Миколайович;Чоловіча;01.02.1995;Дизайнер;село Лутугине;шосе Донецька, буд. 60, Ланівці, 13597;359-16-40;myroslavandriiovych@example.com
Овчаренко;Марта;Петрівна;Жіноча;05.12.1981;Державний службовець;селище Марганець;площа Лузанівський 2-й, буд. 071 кв. 727, Перевальськ, 43516;+380 77 076-52-25;kabanenkoamaliia@example.org
Худобʼяк;Єфрем;Петрович;Чоловіча;09.02.1968;Євнух;селище Городня;сквер Івана Луценка, буд. 4, Токмак, 23535;+380 71 967 91 02;ihorgereta@example.com
Лагода;Хома;Дмитрович;Чоловіча;27.10.1962;Менеджер;село Болград;сквер Прокатна, буд. 29, Оріхів, 74579;+380 99 885-03-20;iukhym17@example.org
Ажажа;Прохір;Володимирович;Чоловіча;22.03.1951;Етнограф;селище Баранівка;парк Морехідна, буд. 995 кв. 0, Снігурівка, 42434;075 734-91-04;havryshkevychmykhailyna@example.com
Полтавець;Дарина;Романівна;Жіноча;21.10.1982;Кінокритик;місто Волноваха;площа 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 303, Березівка, 95799;+380 28 915-70-04;lvernydub@example.com
Ткаченко;Одарка;Володимирівна;Жіноча;28.06.1991;Бібліотекар;селище Самбір;сквер Квітнева, буд. 22 кв. 64, Новий Розділ, 19304;+380 (89) 079-67-20;khrystychmariia@example.com
Чередник;Богуслава;Богданівна;Жіноча;11.03.1979;Євнух;селище Бердичів;сквер Трудовий, буд. 299, Липовець, 54616;037 361-42-93;bsliusar@example.org
Юрчишин;Богодар;Тарасович;Чоловіча;05.10.1962;Актор;хутір Ясинувата;набережна Травневий 1-й, буд. 4, Білозерське, 47643;048 914 16 36;hupaloanita@example.net
Фоменко;Олесь;Романович;Чоловіча;16.01.1955;Фармацевт;село Чортків;сквер Водопровідний 1-й, буд. 1 кв. 570, Красноперекопськ, 21558;+380 65 905-69-41;babychherman@example.com
Зінкевич;Ірина;Богданівна;Жіноча;27.08.1965;Архітектор;село Українськ;узвіз Армійська, буд. 906 кв. 538, Чоп, 69550;+380 (46) 692-19-38;okseniiatytarenko@example.org
Іващенко;Маруся;Сергіївна;Жіноча;19.02.2006;М'ясник;місто Херсон;парк Миколи Гумільова, буд. 908 кв. 2, Балта, 71529;853-34-76;xkalenychenko@example.org
Гаврюшенко;Марʼяна;Романівна;Жіноча;01.12.1969;Маркетолог;селище Сокиряни;вулиця Запорізька, буд. 811 кв. 720, Вижниця, 95808;205 46 50;nazarbabiak@example.net
Теліженко;Ірена;Анатоліївна;Жіноча;05.07.1978;Детектив;місто Ланівці;набережна Гонсіоровського, буд. 6 кв. 4, Андрушівка, 94797;+380 08 160-74-25;deriazhnyivladyslav@example.org
Мазепа;Еріка;Сергіївна;Жіноча;15.10.1949;Модельєр;селище Залізне;парк Опішнянський, буд. 50, Золотоноша, 13791;004 93 27;anitashablii@example.com
Бандурка;Альбіна;Михайлівна;Жіноча;07.12.1976;Бібліотекар;село Ананьїв;проспект Павла Вірського, буд. 89, Тальне, 97464;460-14-20;vakarchukvasylyna@example.net
Демʼянчук;Аарон;Васильович;Чоловіча;12.04.1998;Актор;селище Вознесенськ;площа Бібліотечна, буд. 99, Новоазовськ, 91806;947-15-94;okhrim47@example.com
Козак;Роман;Андрійович;Чоловіча;05.06.1982;Парфюмер;хутір Золоте;сквер Об'їзна дорога, буд. 5, Суми, 66809;012 748-36-81;kalchenkooles@example.org
Данилюк;Алла;Іванівна;Жіноча;01.01.1972;Гінеколог;хутір Ладижин;узвіз Яна Длугоша, буд. 698, Погребище, 71912;+380 09 523-47-51;shevchenkosofiia@example.net
Скирда;Онисим;Анатолійович;Чоловіча;02.05.1991;Кінорежисер;село Скалат;сквер 8-ма Лінія Дачі Ковалевського, буд. 0 кв. 709, Дунаївці, 37961;+380 90 679-20-55;halynanehoda@example.net
Наливайко;Панас;Михайлович;Чоловіча;07.04.1984;Машиніст;місто Ходорів;провулок Волокидіна, буд. 0 кв. 805, Рава-Руська, 62795;143 43 75;hordii11@example.net
Євтушок;Оксенія;Григорівна;Жіноча;02.04.1959;Футболіст;селище Путивль;провулок Чигиринська, буд. 55, Умань, 23607;556 43 26;varvara37@example.com
Жаліло;Пилип;Григорович;Чоловіча;14.06.2001;Бібліотекар;хутір Яворів;сквер Отрада, буд. 8, Тальне, 47420;817 73 07;zorian06@example.net
Сацюк;Валентина;Тарасівна;Жіноча;08.04.1953;Кур'єр;хутір Тараща;сквер Сергія Ядова, буд. 667, Міусинськ, 75712;+380 (21) 626-84-38;zdubyna@example.net
Байдак;Леонтій;Юрійович;Чоловіча;12.10.1980;Хореограф;місто Стрий;площа Віталія Нестеренка, буд. 6, Чоп, 12700;+380 89 388-62-06;liudmylahohol@example.com
Дубас;Вʼячеслав;Юрійович;Чоловіча;26.01.1971;Гірник;місто Кременчук;шосе Стеценко, буд. 078 кв. 682, Липовець, 63253;021 014-38-52;snizhanakalenychenko@example.com
Титаренко;Аліна;Михайлівна;Жіноча;25.06.1961;Мистецтвознавець;хутір Горлівка;сквер Джутовий, буд. 546 кв. 28, Вашківці, 48149;501 32 75;qpetryk@example.net
Яремко;Пармен;Юрійович;Чоловіча;16.05.2001;Архітектор;селище Новий Калинів;сквер Локальна, буд. 22, Новояворівськ, 31893;+380 (35) 218-76-03;huzenkoavrelii@example.org
Вишняк;Хома;Анатолійович;Чоловіча;09.06.1960;Реабілітолог;місто Кілія;площа Трамвайний, буд. 50, Пирятин, 32450;+380 20 295 30 76;bvernyhora@example.org
Воблий;Федір;Васильович;Чоловіча;05.01.1968;Бухгалтер;хутір Сватове;сквер Шухевича Романа, буд. 56, Чистякове, 27506;023 565-62-97;ashchors@example.net
Штокало;Степан;Віталійович;Чоловіча;17.11.1980;Актор;село Кипуче;набережна Деволанівський узвіз, буд. 5, Кам'янець-Подільський, 80773;047 291 28 16;vashchenkoavrelii@example.com
Єщенко;Йосип;Андрійович;Чоловіча;23.05.1966;Електрослюсар;хутір Мелітополь;провулок Садова 1-ша, буд. 6 кв. 11, Жданівка, 51913;547-11-53;roksolana92@example.com
Данильчук;Климент;Олександрович;Чоловіча;27.11.1975;Дизайнер;хутір Авдіївка;площа Верф’яний, буд. 4 кв. 317, Берестечко, 18424;038 508 61 05;iustyna60@example.net
Кибкало;Левко;Богданович;Чоловіча;25.09.2002;Мистецтвознавець;місто Підгайці;сквер Данила Крижанівського, буд. 535, Мукачево, 44432;339 07 18;iaryna45@example.com
Комар;Августин;Ігорович;Чоловіча;06.04.1974;Петрограф;село Білопілля;площа Ланжерон, буд. 569 кв. 389, Чоп, 29055;+380 59 172-71-85;serhii25@example.com
Панчук;Герман;Михайлович;Чоловіча;17.10.1993;Патологоанатом;селище Помічна;сквер Ясна, буд. 33 кв. 322, Феодосія, 79119;602-32-52;bhaidabura@example.net
Скиба;Аарон;Григорович;Чоловіча;13.05.1946;Адвокат;селище Семенівка;провулок Софії Перовської, буд. 9, Рівне, 78045;091 194-90-39;babiakpanteleimon@example.org
Деряжний;Аврелій;Євгенович;Чоловіча;09.06.1966;Зоолог;місто Радивилів;вулиця Айвазовського, буд. 75, Чорноморськ, 08902;067 663-54-13;alinazarudna@example.org
Захарченко;Дан;Володимирович;Чоловіча;11.11.1978;Науковець;село Пирятин;вулиця Вокзальна, буд. 73 кв. 52, Березівка, 74634;+380 (48) 979-01-43;orest60@example.org
Гаєвська;Дарина;Віталіївна;Жіноча;01.05.2002;Головний меркшейдер;селище Глобине;парк Ключовий 1-й, буд. 250 кв. 05, Зборів, 46472;019 267 14 75;kumanets@example.com
Скоробогатько;Мирослав;Григорович;Чоловіча;08.02.1993;Фольклорист;село Полтава;парк Бандурний, буд. 64 кв. 7, Світловодськ, 22485;910 36 36;opanasnikoliuk@example.org
Андрусенко;Симон;Володимирович;Чоловіча;10.01.1984;Реабілітолог;селище Карлівка;площа Покровський, буд. 3, Чигирин, 22608;099 250-55-91;kamilla39@example.net
Щириця;Кирило;Володимирович;Чоловіча;05.10.1957;Пілот;місто Амвросіївка;провулок Грецька, буд. 3 кв. 8, Могилів-Подільський, 46964;917-61-79;averchenkovenedykt@example.com
Данчук;Дан;Іванович;Чоловіча;24.11.1978;Медик;хутір Великі Мости;шосе Шоста, буд. 5 кв. 2, Родинське, 42364;028 503 24 19;bprotsenko@example.net
Шведченко;Едуард;Анатолійович;Чоловіча;15.11.1946;Бібліотекар;місто Сквира;узвіз Світлий, буд. 6, Старокостянтинів, 60029;+380 44 942 13 98;riaboshapkazorian@example.net
Гайдабура;Єфрем;Михайлович;Чоловіча;15.07.1971;Нотаріус;селище Верхівцеве;площа Жоліо-Кюрі, буд. 14, Олександрівськ, 37435;+380 90 969 27 39;opanaschumachenko@example.org
Журба;Зорян;Степанович;Чоловіча;08.02.1986;Гінеколог;місто Устилуг;площа Студентський, буд. 7 кв. 6, Свалява, 95557;+380 62 479-55-46;vladyslavhaidamaka@example.net
Архипенко;Емілія;Петрівна;Жіноча;14.01.1950;Графік;місто Павлоград;парк Південна, буд. 60, Білогірськ, 18423;783-95-44;valentynakhudiak@example.com
Бабиченко;Микита;Ігорович;Чоловіча;11.08.1993;Кінорежисер;місто Кагарлик;проспект Супутників, буд. 16, Золоте, 04752;+380 96 055 82 99;ustym88@example.net
Бабко;Леонід;Іванович;Чоловіча;25.01.1958;Ді-джей;селище Бориспіль;площа Привозна, буд. 7 кв. 40, Чернігів, 96561;466 04 00;martyn95@example.org
Лемешко;Ігор;Миколайович;Чоловіча;13.07.1993;Мистецтвознавець;селище Шпола;сквер Олександра Богомольця, буд. 57, Зоринськ, 79990;066-55-71;liubovdankevych@example.com
Павлик;Адам;Григорович;Чоловіча;08.06.2011;Науковець;селище Надвірна;вулиця Онілової, буд. 9 кв. 86, Вільнянськ, 44193;026 65 19;davyd36@example.org
Гайдай;Мирослав;Андрійович;Чоловіча;13.09.2009;Педагог;село Сватове;вулиця Юрія Асєєва, буд. 3, Зборів, 73290;002 800 63 47;smykytiuk@example.net
Колодуб;Ольга;Богданівна;Жіноча;01.12.1957;Маркетолог;хутір Сквира;парк Сьома, буд. 127, Золоте, 29062;+380 (56) 904-99-71;khrystynababko@example.com
Козак;Марʼяна;Тарасівна;Жіноча;22.01.1970;М'ясник;селище Ківерці;набережна Оранжерейний, буд. 729 кв. 05, Петрово-Красносілля, 53589;+380 71 017-78-09;liudmylailchenko@example.com
Симоненко;Йосип;Віталійович;Чоловіча;09.06.1966;Модель;село Рогатин;набережна Флотський 1-й, буд. 99, Любомль, 52317;+380 93 560-90-84;tbaranyk@example.net
Оберемко;Дмитро;Михайлович;Чоловіча;06.12.1961;Журналіст;місто Рубіжне;провулок Басейний 2-й, буд. 96 кв. 5, Бровари, 76061;+380 (14) 780-48-13;rubetssemen@example.net
Карпа;Святослав;Сергійович;Чоловіча;26.03.1992;Патологоанатом;село Шептицький;шосе Хортицька, буд. 237, Вознесенськ, 80464;090 68 44;vysochaneduard@example.net
Дробʼязко;Павло;Олександрович;Чоловіча;24.11.1991;Живописець;селище Хуст;провулок Вапняна, буд. 299 кв. 017, Полонне, 52714;071 87 36;oleksa78@example.net
Вертипорох;Антон;Іванович;Чоловіча;15.03.1960;Менеджер;село Алупка;проспект Полуничний, буд. 426 кв. 5, Глобине, 92147;+380 (01) 945-96-74;nestor88@example.com
Затула;Олесь;Іванович;Чоловіча;15.06.2006;Стропальник;хутір Радомишль;парк Харківська, буд. 69 кв. 7, Баштанка, 01629;995-53-98;zpavlychenko@example.net
Євдокименко;Ігор;Олександрович;Чоловіча;04.09.1965;Бухгалтер;селище Ніжин;провулок Академічний, буд. 12, Шостка, 68584;674 03 80;oksanaskyba@example.net
Іщенко;Нестор;Тарасович;Чоловіча;10.01.1948;Машиніст;хутір Ківерці;площа Івасюка Володимира, буд. 976, Сквира, 98321;+380 21 733-50-09;daryna45@example.com
Василевич;Аніта;Євгенівна;Жіноча;13.05.1957;Ді-джей;хутір Зугрес;проспект Кримський, буд. 3, Дебальцеве, 73773;+380 79 212-28-90;ivanychukvira@example.net
Онищенко;Єфрем;Дмитрович;Чоловіча;18.08.1993;Електромонтажник;хутір Канів;шосе Василя Кандинського, буд. 5 кв. 21, Горішні Плавні, 52809;+380 (11) 000-47-15;chervonenkoazar@example.com
Масоха;Соломія;Сергіївна;Жіноча;20.01.1958;Мистецтвознавець;хутір Ямпіль;проспект Лютневий 1-й, буд. 606, Тетіїв, 53018;+380 03 438-19-01;albina05@example.com
Матвієнко;Михайлина;Тарасівна;Жіноча;19.11.1995;Детектив;селище Ужгород;вулиця Болградська, буд. 89, Кам'янець-Подільський, 07465;081 739-38-21;zavramenko@example.org
Сомко;Ярослава;Романівна;Жіноча;26.05.2008;Археолог;місто Боярка;сквер Журавлина, буд. 995 кв. 96, Чигирин, 83005;+380 48 329-59-97;andrii19@example.com
Піддубний;Зиновій;Романович;Чоловіча;02.08.1995;Слідчий;селище Путивль;площа Віталія Блажка, буд. 309, Сколе, 14438;889 08 85;ltokar@example.com
Акименко;Остап;Богданович;Чоловіча;17.12.2009;Дерун;селище Новгород-Сіверський;площа Хлібна гавань, буд. 935, Волноваха, 89781;+380 50 632-49-68;havryliukmyron@example.org
Абраменко;Прохір;Миколайович;Чоловіча;05.04.1948;Каскадер;село Алчевськ;узвіз Балтиморська, буд. 762, Судова Вишня, 32519;+380 82 763 01 44;iaroslavaiakymchuk@example.com
Гаврилишин;Клавдія;Олександрівна;Жіноча;18.11.1966;Державний службовець;місто Хмільник;вулиця Малинова, буд. 105, Джанкой, 68731;+380 12 982-02-02;zzaika@example.org
Заєць;Олекса;Богданович;Чоловіча;08.07.1953;Програміст;село Тростянець;шосе Наявний 7-й, буд. 879 кв. 655, Макіївка, 92539;067 522 46 14;charnyshsviatoslava@example.net
Карась;Аркадій;Романович;Чоловіча;28.03.2011;Дерун;село Кремінна;шосе Соціальна, буд. 522 кв. 5, Лубни, 89190;+380 (71) 964-02-39;anzhelabashpolchenko@example.org
Шведченко;Амалія;Василівна;Жіноча;15.04.1970;Мірошник;місто Вишгород;набережна Камишова, буд. 1, Семенівка, 73846;003 530-17-83;gbazavluchenko@example.org
Єресько;Леон;Михайлович;Чоловіча;27.08.1952;Клавішник;місто Дергачі;площа Гонтаренко, буд. 17 кв. 7, Кодима, 85482;+380 (59) 456-02-68;svyrydenkovarvara@example.com
Притула;Богуслав;Євгенович;Чоловіча;20.05.1954;Футболіст;село Горлівка;парк Чигиринська, буд. 159, Володимир-Волинський, 08733;099 682 98 14;shamrainazar@example.com
